id:ID,name,:LABEL
Movie:Kismet,Kismet,Movie
Movie:Flags of Our Fathers,Flags of Our Fathers,Movie
Movie:The Bride Wore Black,The Bride Wore Black,Movie
Movie:Dirty Filthy Love,Dirty Filthy Love,Movie
Movie:The Dark Horse,The Dark Horse,Movie
Movie:The Sentinel,The Sentinel,Movie
Movie:Funny About Love,Funny About Love,Movie
Movie:Kissed,Kissed,Movie
Movie:Alive,Alive,Movie
Movie:Snow Queen,Snow Queen,Movie
Movie:Chopper,Chopper,Movie
Movie:The Mistress of Spices,The Mistress of Spices,Movie
Movie:Snow Dogs,Snow Dogs,Movie
Movie:House,House,Movie
Movie:The Hidden Fortress,The Hidden Fortress,Movie
Movie:I Want to Live!,I Want to Live!,Movie
Movie:Mrs. Parkington,Mrs. Parkington,Movie
Movie:The Wolf Man,The Wolf Man,Movie
Movie:A Cruel Romance,A Cruel Romance,Movie
Movie:Love Happens,Love Happens,Movie
Movie:Innocence,Innocence,Movie
Movie:Before the Rain,Before the Rain,Movie
Movie:Radioland Murders,Radioland Murders,Movie
"Movie:Sleep, My Love","Sleep, My Love",Movie
Movie:Cousins,Cousins,Movie
Movie:I Can't Sleep,I Can't Sleep,Movie
Movie:Moonlight Mile,Moonlight Mile,Movie
Movie:China O'Brien,China O'Brien,Movie
Movie:The Well-Digger's Daughter,The Well-Digger's Daughter,Movie
Movie:Chastity Bites,Chastity Bites,Movie
Movie:The Ice Storm,The Ice Storm,Movie
Movie:Red Beard,Red Beard,Movie
Movie:Desperate Search,Desperate Search,Movie
Movie:The War Within,The War Within,Movie
Movie:Killer Movie,Killer Movie,Movie
Movie:The Mighty Ducks,The Mighty Ducks,Movie
Movie:The Unknown Soldier,The Unknown Soldier,Movie
Movie:Martyrs,Martyrs,Movie
Movie:Mighty Joe Young,Mighty Joe Young,Movie
Movie:Starlift,Starlift,Movie
Movie:The Raid 2,The Raid 2,Movie
Movie:Shriek If You Know What I Did Last Friday the Thirteenth,Shriek If You Know What I Did Last Friday the Thirteenth,Movie
Movie:The Bridges of Madison County,The Bridges of Madison County,Movie
Movie:Net Worth,Net Worth,Movie
Movie:Hanna,Hanna,Movie
Movie:De Dana Dan,De Dana Dan,Movie
Movie:Marnie,Marnie,Movie
Movie:Dreams,Dreams,Movie
Movie:Toy Story 2,Toy Story 2,Movie
Movie:The Marrying Kind,The Marrying Kind,Movie
Movie:My Favorite Season,My Favorite Season,Movie
Movie:Reflections in a Golden Eye,Reflections in a Golden Eye,Movie
Movie:The Sensation of Sight,The Sensation of Sight,Movie
Movie:Call Me Bwana,Call Me Bwana,Movie
Movie:Newlyweds,Newlyweds,Movie
Movie:Alps,Alps,Movie
Movie:Halloween II,Halloween II,Movie
Movie:Romeo Must Die,Romeo Must Die,Movie
"Movie:20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",Movie
Movie:Miss Pettigrew Lives for a Day,Miss Pettigrew Lives for a Day,Movie
Movie:The Business of Strangers,The Business of Strangers,Movie
Movie:The Saint,The Saint,Movie
Movie:The Grand Maneuver,The Grand Maneuver,Movie
Movie:David and Lisa,David and Lisa,Movie
Movie:The Girl on the Train,The Girl on the Train,Movie
Movie:Hoop Dreams,Hoop Dreams,Movie
Movie:Apartment 1303,Apartment 1303,Movie
Movie:Gilles' Wife,Gilles' Wife,Movie
"Movie:Thank You, Mr. Moto","Thank You, Mr. Moto",Movie
Movie:Ninja Assassin,Ninja Assassin,Movie
Movie:Hangman's Curse,Hangman's Curse,Movie
Movie:Big Brown Eyes,Big Brown Eyes,Movie
Movie:The Shipping News,The Shipping News,Movie
Movie:Montana Sky,Montana Sky,Movie
Movie:Zorba the Greek,Zorba the Greek,Movie
Movie:Sabah,Sabah,Movie
Movie:Captain Ron,Captain Ron,Movie
Movie:The Island,The Island,Movie
Movie:Sometimes They Come Back... for More,Sometimes They Come Back... for More,Movie
Movie:Enough Said,Enough Said,Movie
Movie:Secretary,Secretary,Movie
Movie:The Taste of Tea,The Taste of Tea,Movie
Movie:How They Get There,How They Get There,Movie
Movie:Merrill's Marauders,Merrill's Marauders,Movie
Movie:Hyde Park on Hudson,Hyde Park on Hudson,Movie
Movie:Loving Leah,Loving Leah,Movie
Movie:The Exorcist III,The Exorcist III,Movie
Movie:Seven Ways from Sundown,Seven Ways from Sundown,Movie
Movie:The Shawshank Redemption,The Shawshank Redemption,Movie
Movie:You're Next,You're Next,Movie
Movie:I'll Cry Tomorrow,I'll Cry Tomorrow,Movie
Movie:Are You Listening?,Are You Listening?,Movie
Movie:Head,Head,Movie
Movie:Chicago Overcoat,Chicago Overcoat,Movie
Movie:Handle with Care,Handle with Care,Movie
Movie:Golden Boy,Golden Boy,Movie
Movie:A Pure Formality,A Pure Formality,Movie
Movie:The World's Greatest Athlete,The World's Greatest Athlete,Movie
Movie:The Killer,The Killer,Movie
Movie:The First Texan,The First Texan,Movie
Movie:People of the Wind,People of the Wind,Movie
Movie:The Boy Friend,The Boy Friend,Movie
Movie:Fido,Fido,Movie
Movie:When the Wind Blows,When the Wind Blows,Movie
Movie:Blood Creek,Blood Creek,Movie
Movie:Side by Side,Side by Side,Movie
Movie:Midnight's Children,Midnight's Children,Movie
Movie:Surf Ninjas,Surf Ninjas,Movie
Movie:The Art of the Steal,The Art of the Steal,Movie
Movie:17 Again,17 Again,Movie
Movie:More,More,Movie
"Movie:Welcome Back, Mr. McDonald","Welcome Back, Mr. McDonald",Movie
Movie:Big Eden,Big Eden,Movie
Movie:The Three Stooges Meet Hercules,The Three Stooges Meet Hercules,Movie
Movie:Blindness,Blindness,Movie
Movie:The Little Mermaid,The Little Mermaid,Movie
Movie:Code Unknown,Code Unknown,Movie
Movie:Two Lovers,Two Lovers,Movie
Movie:Vice,Vice,Movie
Movie:Remember Me,Remember Me,Movie
Movie:Human Capital,Human Capital,Movie
Movie:Teeth,Teeth,Movie
Movie:The Day After,The Day After,Movie
Movie:The Runner,The Runner,Movie
Movie:The Goalie's Anxiety at the Penalty Kick,The Goalie's Anxiety at the Penalty Kick,Movie
Movie:The Rainmaker,The Rainmaker,Movie
