:START_ID,:END_ID,:TYPE
Movie:Kismet,Person;Organization:William Dieterle,DIRECTED_BY
Movie:Kismet,Person;Organization:Edward Knoblock,WRITTEN_BY
Movie:Kismet,Person:Marlene Dietrich,STARRED_ACTORS
Movie:Kismet,Person:Edward Arnold,STARRED_ACTORS
Movie:Kismet,Person:Ronald Colman,STARRED_ACTORS
Movie:Kismet,Person:James Craig,STARRED_ACTORS
Movie:Kismet,Date:1944,RELEASE_YEAR
Movie:Kismet,Language;Text:English,IN_LANGUAGE
Movie:Kismet,Text:bd-r,HAS_TAGS
Movie:Flags of Our Fathers,Person;Organization:Clint Eastwood,DIRECTED_BY
Movie:Flags of Our Fathers,Person;Organization:Paul Haggis,WRITTEN_BY
Movie:Flags of Our Fathers,Person;Organization:Ron Powers,WRITTEN_BY
Movie:Flags of Our Fathers,Person;Organization:James Bradley,WRITTEN_BY
Movie:Flags of Our Fathers,Date:2006,RELEASE_YEAR
Movie:Flags of Our Fathers,Text:War,HAS_GENRE
Movie:Flags of Our Fathers,Number:famous,HAS_IMDB_VOTES
Movie:Flags of Our Fathers,Text:world war ii,HAS_TAGS
Movie:Flags of Our Fathers,Text:war,HAS_TAGS
Movie:Flags of Our Fathers,Text:r,HAS_TAGS
Movie:Flags of Our Fathers,Text:clint eastwood,HAS_TAGS
Movie:Flags of Our Fathers,Text:american,HAS_TAGS
Movie:Flags of Our Fathers,Text:iwo jima,HAS_TAGS
Movie:Flags of Our Fathers,Text:flag,HAS_TAGS
Movie:The Bride Wore Black,Person;Organization:François Truffaut,DIRECTED_BY
Movie:The Bride Wore Black,Person;Organization:Cornell Woolrich,WRITTEN_BY
Movie:The Bride Wore Black,Person;Organization:François Truffaut,WRITTEN_BY
Movie:The Bride Wore Black,Person:Jeanne Moreau,STARRED_ACTORS
Movie:The Bride Wore Black,Person:Michel Bouquet,STARRED_ACTORS
Movie:The Bride Wore Black,Person:Charles Denner,STARRED_ACTORS
Movie:The Bride Wore Black,Date:1968,RELEASE_YEAR
Movie:The Bride Wore Black,Language;Text:French,IN_LANGUAGE
Movie:The Bride Wore Black,Text:bd-r,HAS_TAGS
Movie:The Bride Wore Black,Text:revenge,HAS_TAGS
