id:ID,name,:LABEL
0,PHYHIP,gene/protein
1,GPANK1,gene/protein
2,ZRSR2,gene/protein
3,NRF1,gene/protein
4,PI4KA,gene/protein
5,SLC15A1,gene/protein
6,EIF3I,gene/protein
7,FAXDC2,gene/protein
8,MT1A,gene/protein
9,SORT1,gene/protein
10,LRP5,gene/protein
11,RPS8,gene/protein
12,CD7,gene/protein
13,MRPL9,gene/protein
14,PSMC4,gene/protein
15,EGR1,gene/protein
16,SNRPD2,gene/protein
17,KRTAP4-5,gene/protein
18,TAF1,gene/protein
19,VAV3,gene/protein
20,KRTAP5-9,gene/protein
21,HMOX2,gene/protein
22,FOS,gene/protein
23,DNAJC3,gene/protein
24,LGALS9,gene/protein
25,MYC,gene/protein
26,MAP3K6,gene/protein
27,KRT20,gene/protein
28,TUBGCP5,gene/protein
29,F2,gene/protein
30,DNM1,gene/protein
31,NUDC,gene/protein
32,CD53,gene/protein
33,GSK3B,gene/protein
34,NAXD,gene/protein
35,SLC7A14,gene/protein
36,PVR,gene/protein
37,CLCN7,gene/protein
38,CCNB1,gene/protein
39,ATF5,gene/protein
40,CDK2,gene/protein
41,NDUFS8,gene/protein
42,PITX1,gene/protein
43,PIK3R1,gene/protein
44,SRPK1,gene/protein
45,HOXD12,gene/protein
46,BZW2,gene/protein
47,TAB1,gene/protein
48,CDKL4,gene/protein
49,PPP1R16A,gene/protein
50,ETS2,gene/protein
51,SP1,gene/protein
52,NKIRAS2,gene/protein
53,IFIT2,gene/protein
54,AURKA,gene/protein
55,TRA2B,gene/protein
56,KAT5,gene/protein
57,TLX3,gene/protein
58,XRN2,gene/protein
59,RPL5,gene/protein
60,SNAP23,gene/protein
61,CALM1,gene/protein
62,INPP1,gene/protein
63,PPP5C,gene/protein
64,PRPF3,gene/protein
65,SF3A1,gene/protein
66,SF1,gene/protein
67,MET,gene/protein
68,E2F1,gene/protein
69,RAD1,gene/protein
70,KRT15,gene/protein
71,CTCF,gene/protein
72,RABGGTA,gene/protein
73,COPS3,gene/protein
74,ADRA2B,gene/protein
75,MYL6,gene/protein
76,NUBP1,gene/protein
77,IHO1,gene/protein
78,VHL,gene/protein
79,GHITM,gene/protein
80,BRCA2,gene/protein
81,TLE5,gene/protein
82,CHML,gene/protein
83,AP2S1,gene/protein
84,SNU13,gene/protein
85,DDOST,gene/protein
86,SKP2,gene/protein
87,HNRNPA2B1,gene/protein
88,PRPF31,gene/protein
89,TMEM139,gene/protein
90,BSG,gene/protein
91,PTTG1IP,gene/protein
92,CLN5,gene/protein
93,DUSP5,gene/protein
94,RNF10,gene/protein
95,NDUFS6,gene/protein
96,NADK,gene/protein
97,ATP6AP2,gene/protein
98,CTSA,gene/protein
99,GNAI1,gene/protein
100,SEC23A,gene/protein
101,ECI2,gene/protein
102,NR2C2,gene/protein
103,SETD7,gene/protein
104,SF3A3,gene/protein
105,ZNF32,gene/protein
106,FOXA1,gene/protein
107,SUMO1,gene/protein
108,CHEK1,gene/protein
109,TERF2,gene/protein
110,SUV39H1,gene/protein
111,TTR,gene/protein
112,OXLD1,gene/protein
113,DDX42,gene/protein
114,RABEP1,gene/protein
115,DNAJC30,gene/protein
116,CASP8,gene/protein
117,SMC5,gene/protein
118,AQP1,gene/protein
119,ETS1,gene/protein
120,TERF1,gene/protein
121,EXOSC2,gene/protein
122,CHRD,gene/protein
123,STK4,gene/protein
124,ERGIC3,gene/protein
125,EGFR,gene/protein
126,H1-1,gene/protein
127,IRF4,gene/protein
128,TMEM52B,gene/protein
129,H2AC4,gene/protein
130,GATA1,gene/protein
131,CEBPE,gene/protein
132,LCE1B,gene/protein
133,CSNK2B,gene/protein
134,SPEN,gene/protein
135,PPP1CA,gene/protein
136,USP4,gene/protein
137,GPR137B,gene/protein
138,HSPA1A,gene/protein
139,PCNA,gene/protein
140,SUMO2,gene/protein
141,MED16,gene/protein
142,YTHDF1,gene/protein
143,PRKAR1A,gene/protein
144,SMAD3,gene/protein
145,PLSCR1,gene/protein
146,MEOX1,gene/protein
147,EFNA5,gene/protein
148,PLP2,gene/protein
149,AK4,gene/protein
150,FGFR3,gene/protein
151,CCN2,gene/protein
152,GRB2,gene/protein
153,E2F4,gene/protein
154,FMR1,gene/protein
155,CHD3,gene/protein
156,ADD2,gene/protein
157,NEDD8,gene/protein
158,RNF181,gene/protein
159,HNRNPUL1,gene/protein
160,SYNCRIP,gene/protein
161,XPO1,gene/protein
162,SLC26A2,gene/protein
163,LMNA,gene/protein
164,UBE2I,gene/protein
165,PCDH20,gene/protein
166,TIAL1,gene/protein
167,CD82,gene/protein
168,E2F3,gene/protein
169,PAX6,gene/protein
170,COL8A1,gene/protein
171,CAPZA2,gene/protein
172,NPPB,gene/protein
173,RAB11A,gene/protein
174,SPI1,gene/protein
175,PSMD2,gene/protein
176,PPARD,gene/protein
177,PTEN,gene/protein
178,EP300,gene/protein
179,IL10RB,gene/protein
180,CORO1B,gene/protein
181,PABPC3,gene/protein
182,MS4A3,gene/protein
183,NFE2,gene/protein
184,STAT2,gene/protein
185,CSTF1,gene/protein
186,KRT18,gene/protein
